Date,Hour,Forex,Evenement,Actuel,Forecast,Previous
2021-03-26,09:00:00,GBP,Ventes au détail (Mensuel) (Févr.),"2,1%",0.021,-0.082
2021-03-26,11:00:00,EUR,IFO climat des affaires Allemagne (Mar),"96,6",93.2,92.7
2021-03-26,15:30:00,USD,PCE core - Indice des prix à la consommation des ménages (Mensuel) (Févr.),"0,1%",0.001,0.002
2021-03-30,16:00:00,USD,Confiance des consommateurs - Conference Board (Mar),"109,7",96.9,90.4
2021-03-31,08:00:00,GBP,PIB (Annuel) (T4)  ,"-7,3%",-0.078,-0.078
2021-03-31,08:00:00,GBP,PIB (Trimestriel) (T4),"1,3%",0.01,0.16
2021-03-31,10:55:00,EUR,Evolution du nombre de chômeurs Allemagne (Mar),-8K,-13K,9K
2021-03-31,11:00:00,EUR,IPC (Annuel) (Mar)  ,"1,3%",0.013,0.009
2021-03-31,14:15:00,USD,Créations d'emplois non agricoles ADP (Mar),517K,550K,176K
2021-03-31,16:00:00,USD,Promesses de ventes de logements (Mensuel) (Févr.),"-10,6%",-0.026,-0.024
2021-01-04,09:55:00,EUR,PMI manufacturier Allemagne (Mar),"66,6",66.6,60.7
2021-01-04,10:30:00,GBP,PMI manufacturier (Mar),"58,9",57.9,55.1
2021-01-04,14:30:00,USD,Inscriptions hebdomadaires au chômage,719K,680K,658K
2021-01-04,16:00:00,USD,Indice PMI manufacturier de l'ISM (Mar),"64,7",61.3,60.8
2021-02-04,14:30:00,USD,Créations d'emplois dans le secteur non agricole (Mar),916K,647K,468K
2021-02-04,14:30:00,USD,Taux de chômage (Mar),"6,0%",0.06,0.062
2021-05-04,16:00:00,USD,Indice PMI non manufacturier de l'ISM (Mar),"63,7",59,55.3
2021-06-04,16:00:00,USD,Rapport JOLTS - Nouvelles offres d'emploi (Févr.),"7,367M",6.995M,7.099M
2021-07-04,10:30:00,GBP,PMI Composite (Mar),"56,4",56.6,49.6
2021-07-04,10:30:00,GBP,PMI services (Mar),"56,3",56.8,49.5
2021-08-04,10:30:00,GBP,PMI construction (Mar),"61,7",54.6,53.3
2021-08-04,14:30:00,USD,Inscriptions hebdomadaires au chômage,744K,680K,728K
2021-09-04,14:30:00,USD,Prix à la production (Mensuel) (Mar),"1,0%",0.005,0.005
2021-04-13,08:00:00,GBP,PIB (Annuel),"-7,8%",-0.073,-0.085
2021-04-13,08:00:00,GBP,PIB (Mensuel),"0,4%",0.006,-0.022
2021-04-13,08:00:00,GBP,Production manufacturière (Mensuel) (Févr.),"1,3%",0.005,-0.023
2021-04-13,11:00:00,EUR,Indice ZEW - Sentiment économique Allemagne (Avr),"70,7",79,76.6
2021-04-13,14:30:00,USD,IPC core (Mensuel) (Mar),"0,3%",0.002,0.001
2021-04-15,14:30:00,USD,Ventes au détail principales (Mensuel) (Mar),"8,4%",0.05,-0.025
